ts_code,date,open,high,close,low,volume
000001.SZ,2019/7/31,1,1,1,1,634723.5
000001.SZ,2019/8/1,1,1,1,1,969926.5
000001.SZ,2019/8/2,1,1,1,1,527981.25
000001.SZ,2019/8/5,13.6,13.64,13.35,13.27,893082.38
000001.SZ,2019/8/6,13.1,13.46,13.37,13.03,882499.12
000001.SZ,2019/8/7,13.49,13.64,13.54,13.37,793038.94
000001.SZ,2019/8/8,13.9,14.5,14.38,13.85,2330715
000001.SZ,2019/8/9,14.55,14.85,14.52,14.43,2060575.25
000001.SZ,2019/8/12,14.61,15.12,15.12,14.6,2733425.5
000001.SZ,2019/8/13,15,15.08,14.89,14.74,1293736.5
000001.SZ,2019/8/14,15.14,15.22,14.97,14.8,1360546.5
000001.SZ,2019/8/15,14.64,14.96,14.94,14.6,897376.25
000001.SZ,2019/8/16,15.09,15.14,14.9,14.78,986902.94
000001.SZ,2019/8/19,14.91,14.94,14.92,14.52,2292956.25
000001.SZ,2019/8/20,14.92,15.2,14.99,14.77,1921041.5
000001.SZ,2019/8/21,14.87,14.89,14.45,14.38,1990132
000001.SZ,2019/8/22,14.4,14.45,14.31,14.2,1353071.5
000001.SZ,2019/8/23,14.37,14.74,14.65,14.35,1636867.62
000001.SZ,2019/8/26,14.42,14.5,14.25,14.15,1415122.5
000001.SZ,2019/8/27,14.36,14.48,14.31,14.24,1356713.5
000001.SZ,2019/8/28,14.26,14.28,14.27,14.05,829657.69
000001.SZ,2019/8/29,10,10,10,10,609034.31
000001.SZ,2019/8/30,100,100,100,100,798500.56
000001.SZ,2019/9/2,100,100,100,100,798500.56
000001.SZ,2019/9/3,14.48,14.51,14.3,14.25,858653.69
000001.SZ,2019/9/4,14.32,14.5,14.44,14.31,973964.88
000001.SZ,2019/9/5,14.56,14.85,14.58,14.55,1768051.38
000001.SZ,2019/9/6,14.71,14.81,14.81,14.62,986432.81
000001.SZ,2019/9/9,14.98,15,14.69,14.6,1299839.12
000001.SZ,2019/9/10,14.6,14.64,14.55,14.41,796870.62
000001.SZ,2019/9/11,14.6,14.71,14.56,14.46,818614.25
000001.SZ,2019/9/12,14.66,14.78,14.68,14.53,1150687.62
000001.SZ,2019/9/16,14.7,14.72,14.45,14.4,929894.19
000001.SZ,2019/9/17,14.36,14.45,14.24,14.18,882655.75
000001.SZ,2019/9/18,14.24,14.48,14.41,14.24,820436.31
000001.SZ,2019/9/19,14.48,14.89,14.84,14.48,1884020.75
000001.SZ,2019/9/20,14.95,15.4,15.34,14.93,2644285
000001.SZ,2019/9/23,15.34,15.47,15.38,15.18,1403281.88
000001.SZ,2019/9/24,15.47,15.54,15.18,15.18,1129103.25
000001.SZ,2019/9/25,15.2,15.85,15.75,15.19,1938892.75
000001.SZ,2019/9/26,15.86,16.04,15.71,15.66,1686592.62
000001.SZ,2019/9/27,15.85,16,15.9,15.7,1007706.25
000001.SZ,2019/9/30,15.75,15.89,15.59,15.57,1046363.19
000001.SZ,2019/10/8,15.6,16.23,16.2,15.6,1386676.38
000001.SZ,2019/10/9,16.1,16.52,16.25,16.02,1316693.5
000001.SZ,2019/10/10,16.27,16.27,16.24,15.99,879746.62
000001.SZ,2019/10/11,16.2,16.95,16.81,16.2,1405422.88
000001.SZ,2019/10/14,16.97,17.6,17.22,16.92,1557637.5
000001.SZ,2019/10/15,17.25,17.35,17.18,16.82,881955.44
000001.SZ,2019/10/16,17.26,17.44,16.79,16.63,1267671.25
000001.SZ,2019/10/17,16.9,17,16.7,16.55,1126182.25
000001.SZ,2019/10/18,16.8,17.04,16.51,16.43,1196799.12
000001.SZ,2019/10/21,16.43,16.97,16.89,16.43,945952.25
000001.SZ,2019/10/22,16.91,16.93,16.42,16.03,1883531.38
000001.SZ,2019/10/23,16.32,16.67,16.45,16.23,967534.56
000001.SZ,2019/10/24,16.5,17,16.87,16.44,1109214.75
000001.SZ,2019/10/25,16.78,16.96,16.88,16.58,691435.75
000001.SZ,2019/10/28,16.98,17.04,16.66,16.48,1070131.12
000001.SZ,2019/10/29,16.69,16.93,16.91,16.56,788864.75
000001.SZ,2019/10/30,16.8,16.96,16.43,16.42,854317.19
000001.SZ,2019/10/31,16.42,16.47,16.26,16.24,862569.25
000001.SZ,2019/11/1,16.35,17,16.86,16.28,1254655.5
000001.SZ,2019/11/4,16.98,17.25,16.92,16.77,889824.25
000001.SZ,2019/11/5,16.8,17.44,17.15,16.79,1172485.88
000001.SZ,2019/11/6,17.06,17.26,16.96,16.88,863325.38
000001.SZ,2019/11/7,16.93,17.07,16.89,16.75,711896.94
000001.SZ,2019/11/8,16.98,17.02,16.65,16.64,849139.19
000001.SZ,2019/11/11,16.5,16.53,16.28,16.2,953515.62
000001.SZ,2019/11/12,16.29,16.37,16.33,16.16,516266.41
000001.SZ,2019/11/13,16.29,16.46,16.33,16.06,655120.62
000001.SZ,2019/11/14,16.43,16.48,16.32,16.25,468899.56
000001.SZ,2019/11/15,16.39,16.55,16.34,16.24,569228
000001.SZ,2019/11/18,16.35,16.55,16.45,16.23,557918.38
000001.SZ,2019/11/19,16.45,16.48,16.41,16.31,562120.38
000001.SZ,2019/11/20,16.3,16.3,15.85,15.77,1724383.5
000001.SZ,2019/11/21,15.75,15.87,15.86,15.63,772563.19
000001.SZ,2019/11/22,15.89,15.92,15.59,15.55,773473.5
000001.SZ,2019/11/25,15.64,15.84,15.8,15.54,783257.94
000001.SZ,2019/11/26,15.89,15.89,15.62,15.49,815297.5
000001.SZ,2019/11/27,15.64,15.64,15.47,15.39,476170
000001.SZ,2019/11/28,15.47,15.54,15.49,15.44,378016.53
000001.SZ,2019/11/29,15.54,15.55,15.29,15.18,653866.94
